src_ip,dst_ip,total_packets,total_bytes,avg_packet_size,std_packet_size,avg_iat,jitter,flow_duration,protocol,src_port,dst_port
142.250.82.253,192.168.29.88,9492,1202822,126.71955330804889,80.17019496847828,0.004916395833075028,0.006295711649025873,46.66151285171509,TCP,19305,59861
162.247.243.29,192.168.29.88,23,8717,379.0,433.35124823614626,1.8499499559402466,3.7135750503914617,40.698899030685425,TCP,19305,59861
142.251.43.110,192.168.29.88,88,28600,325.0,465.2498595574015,0.41570409138997394,1.9711273476331024,36.166255950927734,TCP,19305,59861
108.158.46.47,192.168.29.88,2,121,60.5,5.5,0.031349897384643555,0.0,0.031349897384643555,TCP,19305,59861
192.168.29.1,192.168.29.88,13,917,70.53846153846153,37.49998027612894,0.009243428707122803,0.014218007335277776,0.11092114448547363,TCP,19305,59861
192.168.29.1,192.168.29.88,13,958,73.6923076923077,47.87224121858033,0.009152074654897055,0.014603137397590397,0.10982489585876465,TCP,19305,59861
192.168.29.1,192.168.29.88,13,917,70.53846153846153,37.49998027612894,0.009342829386393229,0.01373473080270088,0.11211395263671875,TCP,19305,59861
192.168.29.88,54.156.207.90,33,16917,512.6363636363636,618.1779099698206,0.029735125601291656,0.07046073270404903,0.951524019241333,TCP,19305,59861
192.168.29.88,54.166.37.170,2,121,60.5,5.5,0.2323610782623291,0.0,0.2323610782623291,TCP,19305,59861
192.168.29.88,98.86.48.98,2,121,60.5,5.5,0.22341012954711914,0.0,0.22341012954711914,TCP,19305,59861
192.168.29.88,199.232.105.108,2,121,60.5,5.5,0.028386831283569336,0.0,0.028386831283569336,TCP,19305,59861
192.168.29.88,54.245.78.97,10,802,80.2,21.469979040511426,3.3472133212619357,9.265729305666198,30.124919891357422,TCP,19305,59861
13.69.239.77,192.168.29.88,3,162,54.0,0.0,0.08290505409240723,0.08285903930664062,0.16581010818481445,TCP,19305,59861
13.234.246.132,192.168.29.88,4,286,71.5,17.628102563804195,0.02562602361043294,0.01767675587524448,0.07687807083129883,TCP,19305,59861
192.168.29.88,3.33.235.18,5,394,78.8,20.262280227062305,0.017723500728607178,0.029199188234790594,0.07089400291442871,TCP,19305,59861
146.75.118.172,192.168.29.88,4,216,54.0,0.0,0.058281660079956055,0.08221994699488668,0.17484498023986816,TCP,19305,59861
192.168.29.88,49.44.116.179,10,1668,166.8,133.437475995314,0.020838552051120333,0.019839268173987255,0.187546968460083,TCP,19305,59861
162.247.243.33,192.168.29.88,5,294,58.8,9.6,0.010146260261535645,0.016183451747809094,0.04058504104614258,TCP,19305,59861
18.172.78.69,192.168.29.88,2,121,60.5,5.5,0.030977964401245117,0.0,0.030977964401245117,TCP,19305,59861
192.168.29.88,54.157.68.40,2,121,60.5,5.5,0.22367501258850098,0.0,0.22367501258850098,TCP,19305,59861
13.67.9.5,192.168.29.88,2,121,60.5,5.5,0.07993006706237793,0.0,0.07993006706237793,TCP,19305,59861
192.168.29.1,192.168.29.88,13,822,63.23076923076923,17.387678423146244,0.009183247884114584,0.014297026122421948,0.110198974609375,TCP,19305,59861
192.168.29.1,192.168.29.88,13,810,62.30769230769231,14.730317325866068,0.007950504620869955,0.011781638451294468,0.09540605545043945,TCP,19305,59861
192.168.29.1,192.168.29.88,13,819,63.0,16.705595561874564,0.00911275545756022,0.015209128551430017,0.10935306549072266,TCP,19305,59861
192.168.29.1,192.168.29.88,13,878,67.53846153846153,30.953104441335334,0.008792241414388021,0.015081672378293423,0.10550689697265625,TCP,19305,59861
192.168.29.1,192.168.29.88,13,866,66.61538461538461,27.913433384548195,0.007555166880289714,0.012027255815270033,0.09066200256347656,TCP,19305,59861
192.168.29.1,192.168.29.88,13,912,70.15384615384616,39.70050601081544,0.00882550080617269,0.014978773221729838,0.10590600967407227,TCP,19305,59861
192.168.29.88,20.42.65.89,2,121,60.5,5.5,0.21180391311645508,0.0,0.21180391311645508,TCP,19305,59861
